Montesson,15183
Carrières-sous-Poissy,15102
Saint-Leu-la-Forêt,15082
Verneuil-sur-Seine,15050
La Flèche,14992
Crépy-en-Valois,14962
Balma,14929
Saint-Maurice,14927
Saint-Avertin,14893
Illzach,14870
Fontainebleau,14839
Berck,14835
Pont-à-Mousson,14792
Caudry,14789
Flers,14761
Douarnenez,14750
Coulommiers,14725
Laxou,14681
Wittenheim,14666
Rive-de-Gier,14658
Lourdes,14644
Gien,14624
Canteleu,14621
Ambarès-et-Lagrave,14609
Haubourdin,14560
Audincourt,14552
Rumilly,14542
Plérin,14394
Saint-Brice-sous-Forêt,14393
Outreau,14390
Bailleul,14389
Ambérieu-en-Bugey,14359
Saint-Just-Saint-Rambert,14356
Romilly-sur-Seine,14352
Villeneuve-Loubet,14346
Gaillac,14334
Montargis,14326
Tulle,14323
Olonne-sur-Mer,14299
Pornic,14288
Issoire,14286
Hautmont,14271
Le Raincy,14261
Les Sables-d'Olonne,14253
Château-Thierry,14189
Wattignies,14179
Sainte-Luce-sur-Loire,14170
Villers-lès-Nancy,14133
Arnouville,14122
Francheville,14094
Longwy,14092
Lognes,14021
Bois-d'Arcy,14008
Méru,13995
Saint-Omer,13992
Biscarrosse,13983
Chenôve,13982
Guipavas,13966
Fameck,13965
Bouc-Bel-Air,13963
Tarascon,13941
Tergnier,13938
Berre-l'Étang,13937
Pontivy,13915
Argentan,13903
Noyon,13894
Bayeux,13888
Montmagny,13864
Autun,13863
Sainte-Maxime,13835
Châteauneuf-les-Martigues,13792
Bollène,13776
Avon,13761
Rixheim,13750
Castelsarrasin,13739
Fontenay-le-Comte,13647
Saint-Gilles,13641
Château-d'Olonne,13593
Cusset,13545
Roncq,13524
Saint-Fargeau-Ponthierry,13497
Woippy,13495
Billère,13479
Ramonville-Saint-Agne,13475
Courcouronnes,13466
Lys-lez-Lannoy,13437
Creutzwald,13434
Mayenne,13376
Ollioules,13321
Mouvaux,13309
Beausoleil,13279
Freyming-Merlebach,13278
Amboise,13246
Châteaudun,13226
Vaires-sur-Marne,13200
Mennecy,13194
Vitry-le-François,13174
Guéret,13143
Saint-Brevin-les-Pins,13134
Trélazé,13125
Granville,13104
Plougastel-Daoulas,13101
Valbonne,13092
Anzin,13092
Fontenay-le-Fleury,13086
Bois-Guillaume,13046
Avrillé,12972
Val-de-Reuil,12969
Saint-Jean-de-Luz,12967
Saint-Paul-lès-Dax,12956
Auray,12946
Pierrelatte,12936
Yzeure,12905
Somain,12863
Montataire,12843
Nemours,12824
Valenton,12819
Châlette-sur-Loing,12812
Saint-Martin-de-Crau,12737
Kingersheim,12720
Bischwiller,12718
Raismes,12682
Bully-les-Mines,12678
Bonneville,12648
Roquebrune-Cap-Martin,12646
Pont-Sainte-Maxence,12637
La Chapelle-Saint-Luc,12634
Fourmies,12581
Sablé-sur-Sarthe,12575
Seclin,12571
Épinay-sous-Sénart,12565
Comines,12564
Moissac,12564
Saint-Julien-en-Genevois,12561
Le Chambon-Feugerolles,12523
Stiring-Wendel,12506
Mions,12485
Morangis,12456
Villetaneuse,12451
Canet-en-Roussillon,12436
Noeux-les-Mines,12424
Issoudun,12420
Castanet-Tolosan,12388
